customer_id,monetary,customer_rank,customer_share,cumulative_revenue,cumulative_revenue_share
14646,280206.02,1,0.0002305209774089442,280206.02,0.031529136238619845
18102,259657.3,2,0.0004610419548178884,539863.3200000001,0.06074610447881749
17450,194390.79,3,0.0006915629322268327,734254.1100000001,0.08261920235673938
16446,168472.5,4,0.0009220839096357768,902726.6100000001,0.10157594141952211
14911,143711.17,5,0.001152604887044721,1046437.7800000001,0.11774650427160309
12415,124914.53,6,0.0013831258644536654,1171352.31,0.13180204538579174
14156,117210.08,7,0.0016136468418626094,1288562.3900000001,0.14499067202864377
17511,91062.38,8,0.0018441678192715537,1379624.77,0.15523712635261927
16029,80850.84,9,0.002074688796680498,1460475.61,0.1643345652633424
12346,77183.6,10,0.002305209774089442,1537659.2100000002,0.1730193616848723
16684,66653.56,11,0.0025357307514983865,1604312.7700000003,0.180519304669784
14096,65164.79,12,0.0027662517289073307,1669477.5600000003,0.18785172936883598
13694,65039.62,13,0.002996772706316275,1734517.1800000004,0.19517006978096582
15311,60632.75,14,0.003227293683725219,1795149.9300000004,0.20199254359959462
13089,58762.08,15,0.003457814661134163,1853912.0100000005,0.2086045272607047
17949,58510.48,16,0.0036883356385431073,1912422.4900000005,0.21518820057117477
15769,56252.72,17,0.003918856615952052,1968675.2100000004,0.22151782786709415
15061,54534.14,18,0.004149377593360996,2023209.3500000003,0.2276540783649099
14298,51527.3,19,0.00437989857076994,2074736.6500000004,0.2334519954178991
14088,50491.810000000005,20,0.004610419548178884,2125228.4600000004,0.23913339782468718
15749,44534.3,21,0.004840940525587829,2169762.7600000002,0.24414445366135892
12931,42055.96,22,0.005071461502996773,2211818.72,0.24887664354252545
17841,40519.84,23,0.005301982480405717,2252338.56,0.25343598725586564
15098,39916.5,24,0.005532503457814661,2292255.06,0.25792744238830306
13798,37153.85,25,0.005763024435223606,2329408.91,0.2621080406439696
16013,37130.6,26,0.00599354541263255,2366539.5100000002,0.266286022780191
16422,34684.4,27,0.006224066390041493,2401223.91,0.270188755394411
15838,33643.08,28,0.006454587367450438,2434866.99,0.27397431736344646
12748,33053.19,29,0.006685108344859382,2467920.18,0.27769350416261296
17404,31906.82,30,0.006915629322268326,2499827.0,0.2812836999575538
17389,31833.68,31,0.00714615029967727,2531660.68,0.2848656659470662
13098,28882.44,32,0.007376671277086215,2560543.12,0.28811555467416694
14680,28754.11,33,0.007607192254495159,2589297.23,0.29135100354714355
13081,28337.38,34,0.007837713231904103,2617634.61,0.2945395614327505
13408,28117.04,35,0.008068234209313048,2645751.65,0.29770332638250685
17857,26879.04,36,0.008298755186721992,2672630.69,0.3007277900043923
16333,26626.8,37,0.008529276164130935,2699257.4899999998,0.3037238712620272
13777,25977.16,38,0.00875979714153988,2725234.65,0.3066468542041226
12753,21429.39,39,0.008990318118948824,2746664.04,0.30905811630627344
12744,21279.29,40,0.009220839096357769,2767943.33,0.31145248896632943
16210,21086.300000000003,41,0.009451360073766712,2789029.63,0.3138251461471723
17675,20374.28,42,0.009681881051175657,2809403.9099999997,0.31611768593587414
17381,20275.61,43,0.0099124020285846,2829679.5199999996,0.3183991232512149
12471,19788.65,44,0.010142923005993546,2849468.1699999995,0.3206257672106429
15039,19766.59,45,0.01037344398340249,2869234.7599999993,0.3228499289509329
